type,title,director,release_year,rating,listed_in,movie_duration,show_seasons
Movie,Season of the Witch,Dominic Sena,2011,PG-13,"Action & Adventure, Sci-Fi & Fantasy",95,
Movie,Secret,Jay Chou,2007,TV-PG,"Dramas, International Movies, Music & Musicals",101,
TV Show,Secret Affair,,2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",,1
Movie,Secret in Their Eyes,Billy Ray,2015,PG-13,"Dramas, Thrillers",111,
Movie,Secrets of Althorp - The Spencers,Kasia Uscinska,2013,TV-PG,"Documentaries, International Movies",54,
Movie,Secrets of Chatsworth,Susannah Ward,2013,TV-PG,"Documentaries, International Movies",54,
Movie,Secrets of Henry VIII's Palace: Hampton Court,Sam Taplin,2013,TV-PG,"Documentaries, International Movies",54,
Movie,Secrets of Her Majesty's Secret Service,Kasia Uscinska,2014,TV-PG,"Documentaries, International Movies",55,
Movie,Secrets of Highclere Castle,Vicky Matthews,2013,TV-PG,"Documentaries, International Movies",54,
Movie,Secrets of Scotland Yard,Susannah Ward,2013,TV-14,Documentaries,55,
Movie,Secrets of Selfridges,Sam Taplin,2014,TV-PG,Documentaries,55,
Movie,Secrets of the Tower of London,Vicky Matthews,2013,TV-PG,Documentaries,55,
Movie,Secrets of Underground London,"Vicky Matthews, Gareth Sacala",2014,TV-PG,"Documentaries, International Movies",55,
Movie,Secrets of Westminster,Louise Wardle,2014,TV-PG,"Documentaries, International Movies",55,
Movie,Sen Kimsin?,Ozan Açıktan,2012,TV-14,"Comedies, International Movies",102,
Movie,Senna,Asif Kapadia,2010,PG-13,"Documentaries, International Movies, Sports Movies",106,
TV Show,Sensitive Skin,,2016,TV-MA,TV Comedies,,1
Movie,"Septiembre, un llanto en silencio",Kenneth Müller,2017,TV-MA,"Dramas, Independent Movies, International Movies",69,
TV Show,Servant of the People,,2015,TV-14,"International TV Shows, TV Comedies",,1
Movie,Set Up,Mike Gunther,2011,R,Action & Adventure,85,
Movie,Sex and the City 2,Michael Patrick King,2010,R,"Comedies, Dramas, Romantic Movies",146,
Movie,Sex and the City: The Movie,Michael Patrick King,2008,R,"Comedies, Dramas, Romantic Movies",145,
Movie,Sex Doll,Sylvie Verheyde,2016,UR,"Dramas, International Movies, Romantic Movies",103,
Movie,"Sexo, Pudor y Lagrimas",Antonio Serrano,1999,R,"Comedies, Dramas, International Movies",111,
Movie,SGT. Will Gardner,Max Martini,2019,TV-MA,Dramas,125,
TV Show,Shadow of Truth,,2016,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",,1
Movie,Shahanpan Dega Deva,Sudesh Manjrekar,2011,TV-14,"Comedies, International Movies",115,
TV Show,Shaka Zulu,,1986,TV-14,TV Dramas,,1
Movie,Shakti: The Power,Krishna Vamshi,2002,TV-MA,"Dramas, International Movies, Thrillers",168,
Movie,Shanghai,Dibakar Banerjee,2012,TV-14,"Dramas, Independent Movies, International Movies",109,
Movie,Shararat,Gurudev Bhalla,2002,TV-PG,"Comedies, International Movies, Music & Musicals",148,
Movie,Shark Busters,Herman Yau,2002,TV-14,"Dramas, International Movies",92,
Movie,Shark Night,David R. Ellis,2011,PG-13,Horror Movies,91,
Movie,Shaurya: It Takes Courage to Make Right... Right,Samar Khan,2008,TV-14,"Dramas, International Movies",135,
Movie,She Did That,,2019,TV-PG,Documentaries,71,
Movie,Shelter,"Måns Mårlind, Björn Stein",2010,R,"Horror Movies, Thrillers",112,
TV Show,Sherlock,,2017,TV-14,"British TV Shows, Crime TV Shows, International TV Shows",,4
Movie,Sherlock Holmes,Guy Ritchie,2009,PG-13,"Action & Adventure, Comedies",128,
